COUNTY_FIPS,STATEDESC,REQUIRED_SPECIALTY,DISEASE,ESTIMATED_PATIENTS,PROVIDER_COUNT,TOTAL_BENEFICIARIES,TOTAL_SERVICES,PATIENTS_PER_PROVIDER,MEDIAN_PATIENTS_PER_PROVIDER,MEAN_PATIENTS_PER_PROVIDER,GAP_RATIO,ACCESS_GAP_LEVEL,GAP_SCORE,UC05_KEY,COUNTY_NAME,providers_per_1000_patients,services_per_beneficiary,is_anomaly,anomaly_label,anomaly_score
37119,North Carolina,Psychiatry,Mental Health Disorders,4706,0,0,0.0,0.0,3104.5,4291.159571,0.0,NO PROVIDER,100.0,37119|Psychiatry,Mecklenburg County,0.0,0.0,False,1,0.08653208169514648
37119,North Carolina,Psychiatry,Mental Health Disorders,4846,1,602,2308.7,4846.0,3104.5,4291.159571,1.56096,HIGH GAP,8.5,37119|Psychiatry,Mecklenburg County,0.20635575732562939,3.828689883913764,False,1,0.12152350241264803
48201,Texas,Endocrinology,Diabetes,13872,0,0,0.0,0.0,18070.0,22988.768287,0.0,NO PROVIDER,100.0,48201|Endocrinology,Harris County,0.0,0.0,False,1,0.08653208169514648
37081,North Carolina,Cardiology,Heart Disease,298474,4,2389,10392.2,74618.5,10823.136364,15071.056217,6.894351,CRITICAL GAP,37.54,37081|Cardiology,Guilford County,0.013401502308408773,4.348200836820084,False,1,0.04322089686435626
26049,Michigan,Pulmonary,Respiratory Disease,631,0,0,0.0,0.0,4251.578947,5741.879972,0.0,NO PROVIDER,100.0,26049|Pulmonary,Genesee County,0.0,0.0,False,1,0.08653208169514648
48029,Texas,Endocrinology,Diabetes,27850,1,860,2864.0,27850.0,18070.0,22988.768287,1.541229,HIGH GAP,8.39,48029|Endocrinology,Bexar County,0.03590664272890485,3.326364692218351,False,1,0.1256608129403971
26125,Michigan,Rheumatology,Arthritis,50823,1,757,2216.1,50823.0,10453.0,13315.598761,4.862049,CRITICAL GAP,26.47,26125|Rheumatology,Oakland County,0.01967613088562265,2.9236147757255937,False,1,0.10513568820079505
26049,Michigan,Rheumatology,Arthritis,1512,0,0,0.0,0.0,10453.0,13315.598761,0.0,NO PROVIDER,100.0,26049|Rheumatology,Genesee County,0.0,0.0,False,1,0.08653208169514648
26099,Michigan,Rheumatology,Arthritis,86989,1,664,1671.8,86989.0,10453.0,13315.598761,8.321917,CRITICAL GAP,45.31,26099|Rheumatology,Macomb County,0.011495706353676902,2.513984962406015,False,1,0.06555541667679732
26049,Michigan,Pulmonary,Respiratory Disease,3426,1,758,1602.5,3426.0,4251.578947,5741.879972,0.805818,MODERATE GAP,4.39,26049|Pulmonary,Genesee County,0.29188558085230587,2.11133069828722,False,1,0.11240657791975756
37119,North Carolina,Endocrinology,Diabetes,2539,0,0,0.0,0.0,18070.0,22988.768287,0.0,NO PROVIDER,100.0,37119|Endocrinology,Mecklenburg County,0.0,0.0,False,1,0.08653208169514648
26099,Michigan,Rheumatology,Arthritis,6171,0,0,0.0,0.0,10453.0,13315.598761,0.0,NO PROVIDER,100.0,26099|Rheumatology,Macomb County,0.0,0.0,False,1,0.08653208169514648
26077,Michigan,Pulmonary,Respiratory Disease,36786,1,277,877.5,36786.0,4251.578947,5741.879972,8.652315,CRITICAL GAP,47.11,26077|Pulmonary,Kalamazoo County,0.027184254879573752,3.156474820143885,False,1,0.11885731173454156
26099,Michigan,Pulmonary,Respiratory Disease,6064,1,414,1149.5,6064.0,4251.578947,5741.879972,1.426294,HIGH GAP,7.77,26099|Pulmonary,Macomb County,0.16490765171503957,2.769879518072289,False,1,0.14627579228014648
37183,North Carolina,Endocrinology,Diabetes,22583,1,889,1926.9,22583.0,18070.0,22988.768287,1.249751,HIGH GAP,6.8,37183|Endocrinology,Wake County,0.04428109639994686,2.165056179775281,False,1,0.13061226090182526
37081,North Carolina,Rheumatology,Arthritis,8401,1,532,1107.3,8401.0,10453.0,13315.598761,0.803693,MODERATE GAP,4.38,37081|Rheumatology,Guilford County,0.11903344839900012,2.077485928705441,False,1,0.13594959169628967
37119,North Carolina,Rheumatology,Arthritis,8087,1,485,1040.8,8087.0,10453.0,13315.598761,0.773653,MODERATE GAP,4.21,37119|Rheumatology,Mecklenburg County,0.12365524916532707,2.14156378600823,False,1,0.1351130174935019
37183,North Carolina,Psychiatry,Mental Health Disorders,18820,1,445,1126.5,18820.0,3104.5,4291.159571,6.062168,CRITICAL GAP,33.01,37183|Psychiatry,Wake County,0.053134962805526036,2.5257847533632285,False,1,0.14745749797292057
48085,Texas,Pulmonary,Respiratory Disease,2068,2,954,2626.6,1034.0,4251.578947,5741.879972,0.243204,LOW GAP,1.32,48085|Pulmonary,Collin County,0.9671179883945842,2.750366492146597,False,1,0.011512735082081726
26099,Michigan,Rheumatology,Arthritis,290237,4,1501,5736.4,72559.25,10453.0,13315.598761,6.941476,CRITICAL GAP,37.8,26099|Rheumatology,Macomb County,0.013781840358052213,3.8191744340878824,False,1,0.07462124454398755
26163,Michigan,Rheumatology,Arthritis,12881,2,117,426.5,6440.5,10453.0,13315.598761,0.616139,MODERATE GAP,3.35,26163|Rheumatology,Wayne County,0.15526744817948918,3.614406779661017,False,1,0.13767985404226352
